ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
gelato,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"gelato, gelato raw, gelato",2026-01-09T21:14:06.224595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorbet,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"sorbet frozen, sorbet raw, sorbet",2026-01-09T21:14:56.073011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried banana chips,168849,"Snacks, banana chips",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,99,,Direct mapping based on high semantic match score (99.0%). Step 4 (nutritional similarity) was skipped.,1,banana chips dried,2026-01-09T21:16:10.984861,0.087 g,,,,0.104 g,1.4 g,0.253 g,,,18.0 mg,2170.0 kJ,,,21.3 mg,0.205 mg,,,0.039 g,,7.7 g,,,,,,,,,0.248 g,,,0.082 g,,0.18 g,,1.25 mg,0.074 g,,,0.158 g,46.0 µg,,,0.107 g,76.0 mg,,1.56 mg,0.024 g,1.95 g,,,,,,,,0.71 mg,,,,,,,,0.086 g,56.0 mg,0.63 g,536.0 mg,0.089 g,2.3 g,,,,,,,,,,0.017 mg,28.97 g,1.5 µg,0.104 g,,,,,,,,,6.0 mg,,,,,,0.085 mg,0.076 g,58.4 g,33.6 g,35.34 g,,0.027 g,0.053 g,0.104 g,4.0 µg,,0.62 mg,0.26 mg,6.3 mg,,0.24 mg,1.3 µg,4.3 g,0.75 mg
crystallized ginger,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"crystallized ginger, ginger crystallized raw, crystallized",2026-01-09T21:16:32.184778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutritional yeast,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"nutritional yeast, yeast nutritional raw, nutritional",2026-01-09T21:18:04.760095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewer's yeast,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"brewers yeast dried, brewers yeast raw, brewer's",2026-01-09T21:19:45.157530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorella,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"chlorella dried, seaweed chlorella raw, chlorella",2026-01-09T21:21:32.655119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collard greens,170406,"Collards, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,collards raw,2026-01-09T21:23:18.566547,0.105 g,,,,0.125 g,1.32 g,0.187 g,,,232.0 mg,133.0 kJ,,,23.2 mg,0.046 mg,28.0 µg,,0.025 g,,4.0 g,,,,,,,,,0.204 g,,,0.094 g,,0.047 g,,0.47 mg,0.1 g,,,0.151 g,4323.0 µg,,,0.117 g,27.0 mg,,0.658 mg,0.033 g,0.03 g,,,,,,,,0.742 mg,,,,,,,,0.087 g,25.0 mg,0.201 g,213.0 mg,0.105 g,3.02 g,,,,,,,,,,0.13 mg,0.055 g,1.3 µg,0.078 g,,,,,,,,,17.0 mg,,,,,,0.054 mg,0.086 g,5.42 g,0.61 g,0.46 g,,0.031 g,0.066 g,0.12 g,251.0 µg,,0.267 mg,0.165 mg,35.3 mg,,2.26 mg,437.1 µg,89.62 g,0.21 mg
belgian endive,170404,"Chicory, witloof, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,2,"endive belgian raw, chicory witloof raw fresh",2026-01-09T21:23:41.383770,,,,,0.066 g,0.47 g,,,,19.0 mg,71.0 kJ,,,,0.051 mg,,,,,3.1 g,,,,,,,,,,,,,,0.015 g,,0.24 mg,0.054 g,,,0.039 g,,,,0.035 g,10.0 mg,,0.1 mg,0.005 g,0.002 g,,,,,,,,0.16 mg,,,,,,,,0.022 g,26.0 mg,0.044 g,211.0 mg,,0.9 g,,,,,,,,,,0.027 mg,0.024 g,0.2 µg,,,,,,,,,,2.0 mg,,,,,,0.062 mg,0.025 g,4.0 g,0.1 g,,,0.016 g,,0.041 g,1.0 µg,,0.145 mg,0.042 mg,2.8 mg,,,,94.52 g,0.16 mg
daikon,168451,"Radishes, oriental, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,radishes daikon raw,2026-01-09T21:27:35.743394,0.019 g,,,,0.035 g,0.58 g,0.041 g,,,27.0 mg,76.0 kJ,,,7.3 mg,0.115 mg,,,0.005 g,,1.6 g,,,,,,,,,0.113 g,,,0.019 g,,0.011 g,,0.4 mg,0.026 g,,,0.031 g,,,,0.03 g,16.0 mg,,0.038 mg,0.006 g,0.017 g,,,,,,,,0.2 mg,,,,,,,,0.02 g,23.0 mg,0.045 g,227.0 mg,0.015 g,0.6 g,,,,,,,,,,0.02 mg,0.03 g,0.7 µg,0.018 g,,,,,,,,,21.0 mg,,,,,,0.02 mg,0.025 g,4.1 g,0.1 g,2.5 g,,0.003 g,0.011 g,0.028 g,,,0.138 mg,0.046 mg,22.0 mg,,,0.3 µg,94.62 g,0.15 mg
water chestnuts,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"water chestnuts raw, water chestnuts raw fresh, water",2026-01-09T21:28:31.494936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo shoots,169210,"Bamboo shoots, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,bamboo shoots raw,2026-01-09T21:29:49.481102,0.124 g,,,,0.097 g,0.9 g,0.425 g,,,13.0 mg,115.0 kJ,,,,0.19 mg,,,0.022 g,,2.2 g,,,,,,,,,0.248 g,,,0.087 g,,0.042 g,,0.5 mg,0.088 g,,,0.14 g,,,,0.134 g,3.0 mg,,0.262 mg,0.03 g,0.007 g,,,,,,,,0.6 mg,,,,,,,,0.09 g,59.0 mg,0.134 g,533.0 mg,0.219 g,2.6 g,,,,,,,,,,0.07 mg,0.069 g,0.8 µg,0.127 g,,,,,,,,,4.0 mg,,,,,,0.15 mg,0.086 g,5.2 g,0.3 g,3.0 g,,0.027 g,,0.106 g,1.0 µg,,0.161 mg,0.24 mg,4.0 mg,,1.0 mg,,91.0 g,1.1 mg
snow peas,170010,"Peas, edible-podded, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,snow peas raw,2026-01-09T21:30:00.115584,0.058 g,,,,0.134 g,0.56 g,0.228 g,,,43.0 mg,176.0 kJ,,,17.4 mg,0.079 mg,,,0.032 g,,2.6 g,,,,,,,,,0.448 g,,,0.072 g,,0.017 g,,2.08 mg,0.161 g,,,0.228 g,740.0 µg,,,0.202 g,24.0 mg,,0.244 mg,0.011 g,0.021 g,,,,,,,,0.6 mg,,,,,,,,0.09 g,53.0 mg,0.089 g,200.0 mg,0.063 g,2.8 g,,,,,,,,,,0.08 mg,0.039 g,0.7 µg,0.125 g,,,,,,,,,4.0 mg,,,,,,0.15 mg,0.099 g,7.55 g,0.2 g,4.0 g,,0.027 g,0.099 g,0.273 g,54.0 µg,,0.75 mg,0.16 mg,60.0 mg,,0.39 mg,25.0 µg,88.89 g,0.27 mg
sugar snap peas,170010,"Peas, edible-podded, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,98,,Direct mapping based on high semantic match score (98.0%). Step 4 (nutritional similarity) was skipped.,1,sugar snap peas raw,2026-01-09T21:30:27.681245,0.058 g,,,,0.134 g,0.56 g,0.228 g,,,43.0 mg,176.0 kJ,,,17.4 mg,0.079 mg,,,0.032 g,,2.6 g,,,,,,,,,0.448 g,,,0.072 g,,0.017 g,,2.08 mg,0.161 g,,,0.228 g,740.0 µg,,,0.202 g,24.0 mg,,0.244 mg,0.011 g,0.021 g,,,,,,,,0.6 mg,,,,,,,,0.09 g,53.0 mg,0.089 g,200.0 mg,0.063 g,2.8 g,,,,,,,,,,0.08 mg,0.039 g,0.7 µg,0.125 g,,,,,,,,,4.0 mg,,,,,,0.15 mg,0.099 g,7.55 g,0.2 g,4.0 g,,0.027 g,0.099 g,0.273 g,54.0 µg,,0.75 mg,0.16 mg,60.0 mg,,0.39 mg,25.0 µg,88.89 g,0.27 mg
pattypan squash,169289,"Squash, summer, scallop, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,squash scallop pattypan raw,2026-01-09T21:30:54.570263,0.063 g,,,,0.051 g,0.58 g,0.147 g,,,19.0 mg,75.0 kJ,,,7.3 mg,0.102 mg,,,0.013 g,,1.2 g,,,,,,,,,0.129 g,,,0.045 g,,0.026 g,,0.4 mg,0.043 g,,,0.07 g,2308.0 µg,,,0.067 g,23.0 mg,,0.157 mg,0.017 g,0.015 g,,,,,,,,0.6 mg,,,,,,,,0.042 g,36.0 mg,0.084 g,182.0 mg,0.038 g,1.2 g,,,,,,,,,,0.03 mg,0.041 g,0.2 µg,0.049 g,,,,,,,,,1.0 mg,,,,,,0.07 mg,0.029 g,3.84 g,0.2 g,2.39 g,,0.011 g,0.032 g,0.054 g,11.0 µg,,0.102 mg,0.109 mg,18.0 mg,,0.13 mg,3.3 µg,94.18 g,0.29 mg
portobello mushrooms,169255,"Mushrooms, portabella, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,mushrooms portabella portobello raw,2026-01-09T21:31:15.210817,0.168 g,,,,0.082 g,0.85 g,0.221 g,,,3.0 mg,92.0 kJ,,,21.2 mg,0.286 mg,,,0.01 g,,1.3 g,,,,,,,,,0.319 g,,,0.096 g,,0.058 g,,0.31 mg,0.082 g,,,0.13 g,,,,0.122 g,,,0.069 mg,0.029 g,0.044 g,,,,,,,,4.494 mg,,,,,,,,0.076 g,108.0 mg,0.296 g,364.0 mg,0.076 g,2.11 g,,,,,,,,,,0.13 mg,0.01 g,18.6 µg,0.092 g,,,,,,,,,9.0 mg,,,,,,0.059 mg,0.101 g,3.87 g,,2.5 g,,0.035 g,0.014 g,0.076 g,,0.05 µg,1.14 mg,0.148 mg,,0.3 µg,0.02 mg,,92.82 g,0.53 mg
cremini mushrooms,168434,"Mushrooms, brown, italian, or crimini, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,mushrooms cremini raw,2026-01-09T21:31:40.504053,0.187 g,,,,0.123 g,0.98 g,0.228 g,,,18.0 mg,94.0 kJ,,,22.1 mg,0.5 mg,,,0.006 g,,0.6 g,,,,,,,,,0.428 g,,,0.111 g,,0.067 g,,0.4 mg,0.099 g,,,0.153 g,,,,0.252 g,9.0 mg,,0.142 mg,0.048 g,0.002 g,,,,,,,,3.8 mg,,,,,,,,0.097 g,120.0 mg,0.042 g,448.0 mg,0.176 g,2.5 g,,,,,,,,,,0.49 mg,0.014 g,26.0 µg,0.113 g,,,,,,,,,6.0 mg,,,,,,0.095 mg,0.113 g,4.3 g,0.1 g,1.72 g,,0.056 g,0.054 g,0.115 g,,0.1 µg,1.5 mg,0.11 mg,,0.1 µg,0.01 mg,,92.12 g,1.1 mg
black olives,169094,"Olives, ripe, canned (small-extra large)",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,97,,Direct mapping based on high semantic match score (97.0%). Step 4 (nutritional similarity) was skipped.,2,"olives black, olives black canned raw",2026-01-09T21:32:33.366174,0.043 g,,,,0.067 g,2.23 g,0.092 g,,,88.0 mg,485.0 kJ,,,10.3 mg,0.251 mg,,,,,1.6 g,,,,,,,,,0.093 g,,,0.049 g,,0.023 g,,6.28 mg,0.031 g,,,0.05 g,510.0 µg,,,0.032 g,4.0 mg,,0.02 mg,0.012 g,7.652 g,,,,,,,,0.037 mg,,,,,,,,0.029 g,3.0 mg,0.629 g,8.0 mg,0.04 g,0.84 g,,,,,,,,,,,2.279 g,0.9 µg,0.031 g,,,,,,,,,735.0 mg,,,,,,0.003 mg,0.026 g,6.04 g,10.9 g,,,,0.023 g,0.038 g,17.0 µg,,0.015 mg,0.009 mg,0.9 mg,,1.65 mg,1.4 µg,79.99 g,0.22 mg
kalamata olives,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"olives kalamata, olives kalamata raw, kalamata",2026-01-09T21:35:10.228743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
