ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
nutritional yeast,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,43,,Semantic score (43.0%) below 65% threshold. Skipping nutritional verification.,3,"nutritional yeast, yeast nutritional inactive raw, nutritional",2026-01-14T00:38:53.757750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewer's yeast,,,,,,NO_MAPPING_FOUND,all_retries_exhausted,62,,Could not find suitable match after 3 attempts with different search strategies,3,"brewers yeast dried, yeast brewer's raw, brewer's",2026-01-14T00:44:12.761998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorella,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"chlorella dried, chlorella dried raw, chlorella",2026-01-14T00:49:43.876645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water chestnuts,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,42,,Semantic score (42.0%) below 65% threshold. Skipping nutritional verification.,3,"water chestnuts raw, water chestnuts raw fresh, water",2026-01-14T00:53:36.861816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalamata olives,,,,,,NO_MAPPING_FOUND,all_retries_exhausted,,,Could not find suitable match after 3 attempts with different search strategies,3,"olives kalamata, olives kalamata raw, kalamata",2026-01-14T00:55:59.288730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple potatoes,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"potatoes purple raw, potatoes purple raw fresh, purple",2026-01-14T01:06:59.799427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new potatoes,170028,"Potatoes, white, flesh and skin, raw",SR Legacy,,search,MID_CONFIDENCE,search_verified_mid,82,87,"Overall best match. Macros (40% weight) align closely: calories −8.2% (68.8 vs 75), protein −6.7% (1.68 vs 1.8), fat exact (0.10 vs 0.10), carbs −7.6% (15.71 vs 17.0) — strong agreement where it matters most. Key vitamins/minerals (30% weight) are very close: vitamin A and D both 0 (match), vitamin C +1.1% (9.1 vs 9), calcium +12.5% (9 vs 8), iron +30% (0.52 vs 0.40; absolute +0.12 mg), potassium +7.4% (407 vs 379). These are within normal variety/harvest/storage variability for potatoes. Other nutrients (30% weight): saturated fat matches exactly (0.03), fiber is higher (+0.8 g; +50%) which is plausible because white potatoes in databases often carry slightly more fiber than the expected value for immature “new” potatoes; sugars modestly higher (+0.35 g; +44%) but still low in absolute terms; sodium +13 mg (16 vs 3) yet both are very low and nutritionally negligible. Considering raw state and varietal differences, this profile tracks the expected ‘new potatoes’ values very well, with only fiber/sugar modestly elevated and small mineral upticks.",1,potatoes new raw,2026-01-14T01:14:13.179382,0.051 g,,,,0.082 g,0.94 g,0.391 g,,,9.0 mg,288.0 kJ,,,11.0 mg,0.116 mg,,,0.02 g,,2.4 g,,,,,,,,,0.286 g,,,0.046 g,,0.028 g,,0.52 mg,0.054 g,,,0.08 g,13.0 µg,,,0.087 g,21.0 mg,,0.145 mg,0.026 g,0.002 g,,,,,,,,1.066 mg,,,,,,,,0.066 g,62.0 mg,0.043 g,407.0 mg,0.051 g,1.68 g,,,,,,,,,,0.034 mg,0.026 g,0.3 µg,0.061 g,,,,,,,,,16.0 mg,,,,,,0.071 mg,0.055 g,15.71 g,0.1 g,1.15 g,,0.017 g,0.039 g,0.084 g,,,0.281 mg,0.203 mg,9.1 mg,,0.01 mg,1.6 µg,81.58 g,0.29 mg
blood orange,169097,"Oranges, raw, all commercial varieties",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_high,85,98.2,"Overall profile is essentially identical to the expected blood orange values. Core macronutrients (40% weight): calories (+0.2%), protein (+0.04 g, +4.4%), total fat (+0.02 g, small absolute), and carbs (−0.05 g, −0.4%) all match within trivial margins; fiber is identical and sugars differ by only −0.05 g. Key vitamins/minerals (30% weight): vitamin A, calcium, iron, potassium all exactly match; vitamin C is +0.2 mg (+0.4%); vitamin D is 0 in both. Other nutrients (30% weight): saturated fat is −0.01 g (negligible). Sodium not listed, but oranges are typically ~0 mg; not penalized. Considering acceptable varietal variation, a blood orange is a cultivar of orange and macro/micro values overlap strongly with generic raw orange. This produces an excellent HIGH_CONFIDENCE match.",1,oranges blood raw,2026-01-14T01:19:21.814111,0.05 g,,,,0.065 g,0.44 g,0.114 g,,,40.0 mg,197.0 kJ,,,8.4 mg,0.045 mg,116.0 µg,,0.01 g,,2.4 g,,,,,,,,,0.094 g,,,0.094 g,,0.018 g,,0.1 mg,0.025 g,,,0.023 g,129.0 µg,,,0.047 g,10.0 mg,,0.025 mg,0.02 g,0.023 g,,,,,,,,0.282 mg,,,,,,,,0.031 g,14.0 mg,0.025 g,181.0 mg,0.046 g,0.94 g,,,,,,,,,,0.04 mg,0.015 g,0.5 µg,0.032 g,,,,,,,,,,,,,,,0.087 mg,0.015 g,11.75 g,0.12 g,9.35 g,,0.009 g,0.016 g,0.04 g,11.0 µg,,0.25 mg,0.06 mg,53.2 mg,,0.18 mg,,86.75 g,0.07 mg
fresh oregano,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,48,,Semantic score (48.0%) below 65% threshold. Skipping nutritional verification.,3,"oregano fresh, oregano fresh raw, fresh",2026-01-14T01:22:50.322837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh tarragon,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,45,,Semantic score (45.0%) below 65% threshold. Skipping nutritional verification.,3,"tarragon fresh, tarragon fresh raw, fresh",2026-01-14T01:25:04.413220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinnamon sticks,171320,"Spices, cinnamon, ground",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,93,,Direct mapping based on high semantic match score (93.0%). Step 4 (nutritional similarity) was skipped.,1,cinnamon stick OR spices cinnamon,2026-01-14T01:27:02.812030,0.166 g,,,,0.166 g,3.6 g,0.438 g,,,1002.0 mg,1035.0 kJ,,,11.0 mg,0.339 mg,129.0 µg,,0.058 g,,53.1 g,,,,,,,,,0.37 g,,,0.195 g,,0.117 g,,8.32 mg,0.146 g,,,0.253 g,222.0 µg,,15.0 µg,0.243 g,60.0 mg,,17.466 mg,0.078 g,0.246 g,,,,,,,,1.332 mg,,,,,,,,0.146 g,64.0 mg,0.068 g,431.0 mg,0.419 g,3.99 g,,,,,,,,,,0.041 mg,0.345 g,3.1 µg,0.195 g,,,,,,,,,10.0 mg,,,,,,0.022 mg,0.136 g,80.59 g,,2.17 g,,0.049 g,0.136 g,0.224 g,15.0 µg,,0.358 mg,0.158 mg,3.8 mg,,2.32 mg,31.2 µg,10.58 g,1.83 mg
whole cloves,171321,"Spices, cloves, ground",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,92,,Direct mapping based on high semantic match score (92.0%). Step 4 (nutritional similarity) was skipped.,1,cloves whole,2026-01-14T01:27:50.231291,0.29 g,,,,0.32 g,5.63 g,0.6 g,,,632.0 mg,1145.0 kJ,,,37.4 mg,0.368 mg,103.0 µg,,0.07 g,,33.9 g,,,,,,,,,0.56 g,,,0.28 g,,0.13 g,,11.83 mg,0.24 g,,,0.4 g,,,,0.37 g,259.0 mg,,60.127 mg,0.08 g,1.393 g,,,,,,,,1.56 mg,,,,,,,,0.23 g,104.0 mg,3.606 g,1020.0 mg,0.39 g,5.97 g,,,,,,,,,,0.22 mg,3.952 g,7.2 µg,0.24 g,,,,,,,,,277.0 mg,,,,,,0.158 mg,0.18 g,65.53 g,0.044 g,2.38 g,0.254 g,0.03 g,0.19 g,0.34 g,8.0 µg,,0.509 mg,0.391 mg,0.2 mg,,8.82 mg,141.8 µg,9.87 g,2.32 mg
smoked paprika,171329,"Spices, paprika",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_high,88,99.6,"Overall, this USDA entry for Spices, paprika is an excellent match to smoked paprika on a per-100 g basis. Method: compared nutrient-by-nutrient using weighted categories—macros (40%), key vitamins/minerals (30%), and other nutrients (30%). Macros (40% weight): Calories (282.27 vs 282) differ by 0.1%—negligible. Protein (14.14 vs 14.1) differs by ~0.3%—negligible. Carbohydrate (53.99 vs 54.0) differs by ~0.02%—negligible. Total fat is not explicitly listed in the USDA line, but summing fatty acid subtypes (sat 2.14 + poly 7.77 + mono 1.70) yields ~11.61 g, versus expected 12.9 g. The ~1.29 g remainder is typical for unclassified fats (e.g., other/unknown/trans) and rounding; paprika’s published total fat commonly aligns ~12.9 g. Considering this standard accounting gap, the effective fat match is strong; even if treated as a 10% difference on fat, macro similarity remains very high. Key vitamins/minerals (30% weight): Vitamin A (2463 mcg), C (0.90 mg), calcium (229 mg), iron (21.14 mg), and potassium (2280 mg) match the expected values to within rounding (≤0.4% differences where non-zero). Vitamin D is effectively 0 in spices; although not explicitly listed here, it aligns with the expected 0. Other nutrients (30% weight): Dietary fiber (34.90 g) matches exactly; total sugars (10.34 vs 10.3 g) differ by ~0.4% (negligible). Sodium (68 mg) matches exactly. Fatty acid distribution (PUFA-dominant with modest SFA and MUFA) is consistent with paprika oil profiles. Acceptable variations: The USDA entry is generic paprika; smoked paprika is the same ground Capsicum annuum with smoke-drying. The smoking process minimally impacts macronutrients and minerals; small lab-to-lab differences and rounding explain the tiny discrepancies observed. Weighted result: macros ~98–99% (slight consideration for inferred fat), vitamins/minerals ~100%, other nutrients ~100%, yielding an overall similarity ~99.6%. Confidence: HIGH_CONFIDENCE (excellent match).",1,paprika smoked,2026-01-14T01:28:14.250340,0.64 g,,,,0.89 g,7.74 g,2.85 g,,,229.0 mg,1181.0 kJ,,,51.5 mg,0.713 mg,6186.0 µg,,0.23 g,,34.9 g,,,,,,,,,2.26 g,,,0.78 g,,0.25 g,,21.14 mg,0.57 g,,,0.92 g,18944.0 µg,,,0.69 g,178.0 mg,,1.59 mg,0.2 g,1.695 g,,,,,,,,10.06 mg,,,,,,,,0.61 g,314.0 mg,7.766 g,2280.0 mg,2.31 g,14.14 g,,,,,,,,,,1.23 mg,2.14 g,6.3 µg,0.61 g,,,,,,,,,68.0 mg,,,,,,0.33 mg,0.49 g,53.99 g,,10.34 g,,0.07 g,0.38 g,0.75 g,2463.0 µg,,2.51 mg,2.141 mg,0.9 mg,,29.1 mg,80.3 µg,11.24 g,4.33 mg
kosher salt,746775,"Salt, table, iodized",Foundation,,search,HIGH_CONFIDENCE,search_verified_high,88,98.4,"High-confidence match. Kosher salt is effectively pure sodium chloride with zero calories, fat, carbs, protein, sugars, and fiber; sodium ~39.3 g/100 g; other vitamins/minerals ~0. Weighted analysis: (1) Core macronutrients (40% weight): Iodized table salt provides 0 kcal, 0 g protein, 0 g fat, 0 g carbs (typical for salt) → perfect alignment, full 40/40. (2) Key vitamins/minerals (30% weight): Vitamins A/C/D = 0 → perfect. Calcium 50 mg and potassium 2 mg are trace amounts likely from additives/processing; iron ≈ 0 mg. These small nonzero values slightly reduce this group’s score but remain nutritionally negligible relative to expectations for pure salt. (3) Other nutrients (30% weight): Sodium is the defining nutrient; 38,700 mg vs expected 39,300 mg (−600 mg, ~1.5% lower), which is within normal variability (crystal size, moisture, anti-caking). Dietary fiber and sugars are 0 → perfect. Net effect: macros perfect, sodium extremely close, only minor trace minerals present. Note: Iodine is present by design in iodized salt (typically a few mg iodine per 100 g as iodide); this is not part of the scoring nutrients but is a compositional difference from typical non-iodized kosher salt.",1,salt kosher,2026-01-14T01:33:26.764701,,,,,,99.0 g,,,,50.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,38700.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.42 g,
sea salt,173468,"Salt, table",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_high,86,99,"Core macronutrients (40% weight): Sea salt contributes no calories, protein, fat, or carbs; table salt also contains none, so this category is a perfect match. Key vitamins/minerals (30% weight): Expected sea salt has vitamin A, C, D at 0 (salt contains none), calcium 24 mg, iron 0 mg, potassium 8 mg. This entry matches calcium (24 mg) and potassium (8 mg) exactly, and vitamin A/C/D are effectively 0 for salt. The only deviation is trace iron at 0.33 mg vs expected 0 mg—an insignificant trace amount likely due to compositional traces or database rounding; nutritionally negligible and acceptable for different salt varieties. Other nutrients (30% weight): Sodium matches exactly at 38,758 mg per 100 g, which is the defining nutrient for salt. Other ‘other’ nutrients like sugars, fiber, saturated fat, cholesterol are inherently 0 in salt and align with expectations. Considering typical composition of non-iodized salt and acceptable trace-mineral variation, this is an excellent match.",1,salt sea,2026-01-14T01:38:15.347980,,,,,,99.8 g,,,,24.0 mg,,,,,0.03 mg,,,,,,,,,,,2.0 µg,,,,,,,,,,0.33 mg,,,,,,,,,1.0 mg,,0.1 mg,,,,,,,,,,,,,,,,,,,,,8.0 mg,,,,,,,,,,,,,,0.1 µg,,,,,,,,,,38758.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.2 g,0.1 mg
